Key,Gate,Velo,Time,Bar,part,PhoVal,id,Remain,Dynamic
63,240,60,33600,13,5,e,391,2,f
57,240,60,33600,13,5,e,392,1,f
71,240,60,33840,13,2,e,393,2,f
64,240,60,33840,13,2,e,394,1,f
56,240,60,33840,13,5,e,395,2,f
72,240,60,34080,13,2,e,396,2,f
70,240,60,34080,13,2,e,397,1,f
64,240,60,34080,13,2,e,398,1,f
55,240,60,34080,13,5,e,399,2,f
72,240,60,34320,13,2,e,400,2,f
69,240,60,34320,13,2,e,401,1,f
65,240,60,34320,13,2,e,402,1,f
63,240,60,34320,13,5,e,403,2,f
60,240,60,34320,13,5,e,404,1,f
53,240,60,34320,13,5,e,405,1,f
74,240,60,34560,13,2,e,406,2,f
68,240,60,34560,13,2,e,407,1,f
65,240,60,34560,13,5,e,408,2,f
58,240,60,34560,13,5,e,409,1,f
79,480,60,34800,14,2,q,410,2,f
75,120,60,34800,14,2,s,411,1,f
70,120,60,34800,14,2,s,412,1,f
67,120,60,34800,14,2,s,413,1,f
39,240,60,34800,14,5,e,414,2,f
63,240,60,35040,14,5,e,415,2,f
55,240,60,35040,14,5,e,416,1,f
69,120,60,35280,14,2,s,417,2,f
67,240,60,35280,14,5,e,418,2,f
63,240,60,35280,14,5,e,419,1,f
58,240,60,35280,14,5,e,420,1,f
70,120,60,35400,14,2,s,421,2,f
71,120,60,35520,14,2,s,422,2,f
51,240,60,35520,14,5,e,423,2,f
70,120,60,35640,14,2,s,424,2,f
73,120,60,35760,14,2,s,425,2,f
62,240,60,35760,14,5,e,426,2,f
56,240,60,35760,14,5,e,427,1,f
74,120,60,35880,14,2,s,428,2,f
79,180,60,36000,14,2,f,429,2,f
68,240,60,36000,14,5,e,430,2,f
62,240,60,36000,14,5,e,431,1,f
58,240,60,36000,14,5,e,432,1,f
77,60,60,36180,14,2,t,433,2,f
77,480,60,36240,14,2,q,434,2,f
51,240,60,36240,14,5,e,435,2,f
63,240,60,36480,14,5,e,436,2,f
55,240,60,36480,14,5,e,437,1,f
75,360,60,36720,14,2,d,438,2,f
67,240,60,36720,14,5,e,439,2,f
63,240,60,36720,14,5,e,440,1,f
58,240,60,36720,14,5,e,441,1,f
50,240,60,36960,14,5,e,442,2,f
77,120,60,37080,14,2,s,443,2,f
75,120,60,37200,14,2,s,444,2,f
63,240,60,37200,14,5,e,445,2,f
55,240,60,37200,14,5,e,446,1,f
74,120,60,37320,14,2,s,447,2,f
75,120,60,37440,14,2,s,448,2,f
67,240,60,37440,14,5,e,449,2,f
63,240,60,37440,14,5,e,450,1,f
58,240,60,37440,14,5,e,451,1,f
77,120,60,37560,14,2,s,452,2,f
79,120,60,37680,15,2,s,453,2,f
48,240,60,37680,15,5,e,454,2,f
71,120,60,37800,15,2,s,455,2,f
72,120,60,37920,15,2,s,456,2,f
64,240,60,37920,15,5,e,457,2,f
55,240,60,37920,15,5,e,458,1,f
73,120,60,38040,15,2,s,459,2,f
72,120,60,38160,15,2,s,460,2,f
67,240,60,38160,15,5,e,461,2,f
64,240,60,38160,15,5,e,462,1,f
58,240,60,38160,15,5,e,463,1,f
77,120,60,38280,15,2,s,464,2,f
76,120,60,38400,15,2,s,465,2,f
48,240,60,38400,15,5,e,466,2,f
80,120,60,38520,15,2,s,467,2,f
79,120,60,38640,15,2,s,468,2,f
64,240,60,38640,15,5,e,469,2,f
55,240,60,38640,15,5,e,470,1,f
85,120,60,38760,15,2,s,471,2,f
84,120,60,38880,15,2,s,472,2,f
70,240,60,38880,15,5,e,473,2,f
64,240,60,38880,15,5,e,474,1,f
60,240,60,38880,15,5,e,475,1,f
79,120,60,39000,15,2,s,476,2,f
82,720,60,39120,15,2,c,477,2,f
41,240,60,39120,15,5,e,478,2,f
61,240,60,39360,15,5,e,479,2,f
53,240,60,39360,15,5,e,480,1,f
64,240,60,39600,15,5,e,481,2,f
61,240,60,39600,15,5,e,482,1,f
58,240,60,39600,15,5,e,483,1,f
80,480,60,39840,15,2,q,484,2,f
41,240,60,39840,15,5,e,485,2,f
60,240,60,40080,15,5,e,486,2,f
53,240,60,40080,15,5,e,487,1,f
79,240,60,40320,15,2,e,488,2,f
65,240,60,40320,15,5,e,489,2,f
60,240,60,40320,15,5,e,490,1,f
56,240,60,40320,15,5,e,491,1,f
77,720,60,40560,16,2,c,492,2,p
46,240,60,40560,16,5,e,493,2,p
62,240,60,40800,16,5,e,494,2,p
53,240,60,40800,16,5,e,495,1,p
68,240,60,41040,16,5,e,496,2,p
62,240,60,41040,16,5,e,497,1,p
58,240,60,41040,16,5,e,498,1,p
79,240,60,41280,16,2,e,499,2,p
77,120,60,41280,16,2,s,500,1,p
76,120,60,41280,16,2,s,501,1,p
47,240,60,41280,16,5,e,502,2,p
79,240,60,41520,16,2,e,503,2,p
65,240,60,41520,16,5,e,504,2,p
55,240,60,41520,16,5,e,505,1,p
74,240,60,41760,16,2,e,506,2,p
67,240,60,41760,16,5,e,507,2,p
65,240,60,41760,16,5,e,508,1,p
62,240,60,41760,16,5,e,509,1,p
75,720,60,42000,16,2,c,510,2,p
48,240,60,42000,16,5,e,511,2,p
63,240,60,42240,16,5,e,512,2,p
55,240,60,42240,16,5,e,513,1,p
67,240,60,42480,16,5,e,514,2,p
63,240,60,42480,16,5,e,515,1,p
60,240,60,42480,16,5,e,516,1,p
72,720,60,42720,16,2,c,517,2,p
45,240,60,42720,16,5,e,518,2,p
63,240,60,42960,16,5,e,519,2,p
54,240,60,42960,16,5,e,520,1,p
66,240,60,43200,16,5,e,521,2,p
63,240,60,43200,16,5,e,522,1,p
60,240,60,43200,16,5,e,523,1,p
70,240,60,43440,17,2,e,524,2,p
46,240,60,43440,17,5,e,525,2,p
